Lines,LineType,FromBus,ToBus,Reactance,FlowLimitForw,FlowLimitBack
D-174.To.D-154,AC,D-174,D-154,0.01699,1101,1101
D-140.To.D-156,AC,D-140,D-156,0.01575,1501,1501
D-152.To.D-158,AC,D-152,D-158,0.00442,501,501
D-155.To.D-158,AC,D-155,D-158,0.01026,1001,1001
D-157.To.D-158,AC,D-157,D-158,0.01529,501,501
D-157.To.D-158.(2),AC,D-157,D-158,0.03324,501,501
D-152.To.D-159,AC,D-152,D-159,0.0475,501,501
D-158.To.D-159,AC,D-158,D-159,0.02192,501,501
D-14.To.D-16,AC,D-14,D-16,0.01884,2001,2001
D-146.To.D-160,AC,D-146,D-160,0.05996,501,501
D-147.To.D-160,AC,D-147,D-160,0.01147,1001,1001
D-229.To.D-160,AC,D-229,D-160,0.01111,7700,7700
D-150.To.D-161,AC,D-150,D-161,0.00944,1201,1201
D-174.To.D-161,AC,D-174,D-161,0.00744,1001,1001
D-160.To.D-162,AC,D-160,D-162,0.03824,1501,1501
D-159.To.D-163,AC,D-159,D-163,0.02296,501,501
D-155.To.D-165/16,AC,D-155,D-165/16,0.00803,1001,1001
D-157.To.D-165/16,AC,D-157,D-165/16,0.01849,1001,1001
D-164.To.D-165/16,AC,D-164,D-165/16,0.11579,501,501
D-14.To.D-17,AC,D-14,D-17,0.00837,1001,1001
D-23.To.D-17,AC,D-23,D-17,0.00747,501,501
D-150.To.D-170,AC,D-150,D-170,0.0446,1001,1001
D-174.To.D-170,AC,D-174,D-170,0.03066,1001,1001
D-182.To.D-171,AC,D-182,D-171,0.03705,501,501
D-156.To.D-172,AC,D-156,D-172,0.00743,1601,1601
D-170.To.D-172,AC,D-170,D-172,0.04117,1501,1501
D-162.To.D-173,AC,D-162,D-173,0.01425,1501,1501
D-163.To.D-174,AC,D-163,D-174,0.08197,501,501
D-158.To.D-175,AC,D-158,D-175,0.05944,501,501
D-165/16.To.D-177,AC,D-165/16,D-177,0.01324,601,601
D-165/16.To.D-177.(2),AC,D-165/16,D-177,0.03239,501,501
D-186.To.D-177,AC,D-186,D-177,0.03433,1001,1001
D-164.To.D-178,AC,D-164,D-178,0.05981,501,501
D-180.To.D-178,AC,D-180,D-178,0.02416,501,501
D-154.To.D-179,AC,D-154,D-179,0.01917,1001,1001
D-186.To.D-179,AC,D-186,D-179,0.00976,1501,1501
D-194.To.D-179,AC,D-194,D-179,0.04976,1001,1001
D-194.To.D-179.(2),AC,D-194,D-179,0.03177,1001,1001
D-16.To.D-18,AC,D-16,D-18,0.02043,501,501
D-24.To.D-18,AC,D-24,D-18,0.08865,501,501
D-33.To.D-18,AC,D-33,D-18,0.03387,1001,1001
D_185.To.D-180,AC,D_185,D-180,0.00586,1501,1501
D-165/16.To.D-180,AC,D-165/16,D-180,0.02515,1001,1001
D-186.To.D-181,AC,D-186,D-181,0.01022,2101,2101
D-165/16.To.D-182,AC,D-165/16,D-182,0.00888,2301,2301
D-172.To.D-183,AC,D-172,D-183,0.00758,501,501
D-173.To.D-185,AC,D-173,D-185,0.05271,501,501
D-175.To.D-186,AC,D-175,D-186,0.02608,501,501
D-176.To.D-186,AC,D-176,D-186,0.02155,2001,2001
D-189.To.D-186,AC,D-189,D-186,0.0041,1501,1501
D-196.To.D-186.(2),AC,D-196,D-186,0.04978,501,501
D-170.To.D-187,AC,D-170,D-187,0.05028,1001,1001
D-172.To.D-188,AC,D-172,D-188,0.02484,1101,1101
D-13.To.D-19,AC,D-13,D-19,0.03211,1001,1001
D-174.To.D-190,AC,D-174,D-190,0.01197,1501,1501
D-187.To.D-190,AC,D-187,D-190,0.02626,501,501
D-188.To.D-191,AC,D-188,D-191,0.01412,1501,1501
D-177.To.D-192,AC,D-177,D-192,0.01399,1501,1501
D-177.To.D-192.(2),AC,D-177,D-192,0.02786,1001,1001
D-182.To.D-192,AC,D-182,D-192,0.00817,501,501
D-187.To.D-193,AC,D-187,D-193,0.02456,1001,1001
D-203.To.D-195,AC,D-203,D-195,0.00588,501,501
D-182.To.D-196,AC,D-182,D-196,0.01467,1501,1501
D-182.To.D-196.(2),AC,D-182,D-196,0.01779,1001,1001
D-186.To.D-196,AC,D-186,D-196,0.00742,2101,2101
D-189.To.D-196,AC,D-189,D-196,0.01706,1001,1001
E-211.To.D-196,AC,E-211,D-196,0.01569,10000,10000
E-218.To.D-196,AC,E-218,D-196,0.02424,10000,10000
D-190.To.D-197,AC,D-190,D-197,0.01042,3001,3001
D-202.To.D-198,AC,D-202,D-198,0.00947,501,501
D-207.To.D-198,AC,D-207,D-198,0.01071,1301,1301
D-192.To.D-199,AC,D-192,D-199,0.01999,501,501
D-3.To.D-2,AC,D-3,D-2,0.02269,501,501
D-12.To.D-20,AC,D-12,D-20,0.01274,1201,1201
D-26.To.D-20,AC,D-26,D-20,0.02608,601,601
D-192.To.D-200,AC,D-192,D-200,0.0172,1001,1001
D-203.To.D-201,AC,D-203,D-201,0.00473,501,501
D-213.To.D-202,AC,D-213,D-202,0.01139,501,501
D-189.To.D-203,AC,D-189,D-203,0.0247,1501,1501
E-217.To.D-203,AC,E-217,D-203,0.05171,10000,10000
D-198.To.D-205,AC,D-198,D-205,0.00484,501,501
D-191.To.D-206,AC,D-191,D-206,0.01146,1701,1701
D-197.To.D-206.(2),AC,D-197,D-206,0.00558,3001,3001
D-207.To.D-206,AC,D-207,D-206,0.01122,2501,2501
D-196.To.D-208,AC,D-196,D-208,0.01091,1501,1501
D-206.To.D-209,AC,D-206,D-209,0.005,501,501
D-17.To.D-21,AC,D-17,D-21,0.0047,1001,1001
D-198.To.D-210,AC,D-198,D-210,0.00684,501,501
D-205.To.D-210,AC,D-205,D-210,0.00496,501,501
D-213.To.D-210,AC,D-213,D-210,0.07995,501,501
D-200.To.D-212,AC,D-200,D-212,0.023,1001,1001
E-204.To.D-213,AC,E-204,D-213,0.00804,10000,10000
E-211.To.D-213,AC,E-211,D-213,0.00994,10000,10000
D-207.To.D-214,AC,D-207,D-214,0.00599,1001,1001
D-206.To.D-216,AC,D-206,D-216,0.01142,501,501
D_Connef.To.D-22,AC,D_Connef,D-22,0.02024,1501,1501
D-219.To.D-224,AC,D-219,D-224,0.04047,501,501
D-20.To.D-23,AC,D-20,D-23,0.00528,701,701
D-193.To.D-231,AC,D-193,D-231,0.04776,1001,1001
D-31.To.D-24,AC,D-31,D-24,0.05279,501,501
D-9.To.D-25,AC,D-9,D-25,0.02589,1001,1001
D_Connef.To.D-26,AC,D_Connef,D-26,0.00459,501,501
D-29.To.D-27,AC,D-29,D-27,0.01517,1001,1001
D_Connef.To.D-29,AC,D_Connef,D-29,0.03467,601,601
D-9.To.D-3,AC,D-9,D-3,0.0241,1001,1001
D-21.To.D-30,AC,D-21,D-30,0.00896,1001,1001
D-55.To.D-30,AC,D-55,D-30,0.01776,1001,1001
D-32.To.D-31,AC,D-32,D-31,0.01347,501,501
D_Connef.To.D-32,AC,D_Connef,D-32,0.0186,1501,1501
D-36.To.D-33,AC,D-36,D-33,0.02412,501,501
D-41.To.D-34,AC,D-41,D-34,0.03049,1001,1001
D-3.To.D-35,AC,D-3,D-35,0.03567,1001,1001
D-31.To.D-36,AC,D-31,D-36,0.02897,501,501
D-26.To.D-37,AC,D-26,D-37,0.00815,1001,1001
D-52.To.D-38,AC,D-52,D-38,0.02508,501,501
D-34.To.D-39,AC,D-34,D-39,0.01516,1001,1001
D-47.To.D-39,AC,D-47,D-39,0.0153,1501,1501
D-35.To.D-41,AC,D-35,D-41,0.00609,2001,2001
D-38.To.D-41,AC,D-38,D-41,0.01162,1001,1001
D-47.To.D-41,AC,D-47,D-41,0.02821,501,501
D_Connef.To.D-42,AC,D_Connef,D-42,0.02902,501,501
D-33.To.D-43,AC,D-33,D-43,0.01924,1001,1001
D-49.To.D-43,AC,D-49,D-43,0.02803,1001,1001
D_Diele.To.D-44,AC,D_Diele,D-44,0.0045,1501,1501
D-39.To.D-45,AC,D-39,D-45,0.03612,501,501
D-41.To.D-46,AC,D-41,D-46,0.01941,2001,2001
D-62.To.D-46,AC,D-62,D-46,0.01048,2001,2001
D-44.To.D-48,AC,D-44,D-48,0.00507,1001,1001
D-56.To.D-48,AC,D-56,D-48,0.01164,1001,1001
D-20.To.D-49,AC,D-20,D-49,0.02829,1001,1001
D-63.To.D-50,AC,D-63,D-50,0.00514,501,501
D-58.To.D-51,AC,D-58,D-51,0.00608,2001,2001
D-25.To.D-52,AC,D-25,D-52,0.02331,1001,1001
D-57.To.D-52,AC,D-57,D-52,0.04182,501,501
D-79.To.D-52,AC,D-79,D-52,0.02078,501,501
D-9.To.D-52,AC,D-9,D-52,0.10217,501,501
D-49.To.D-53,AC,D-49,D-53,0.10009,501,501
D-55.To.D-53,AC,D-55,D-53,0.01649,1001,1001
D-49.To.D-54,AC,D-49,D-54,0.01225,501,501
D-51.To.D-55,AC,D-51,D-55,0.00808,2001,2001
