Generators,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,MaxTransitionLevel,FuelCost,FuelGenerator,FHGenerator,StartupCost,hr1,hr2,hr3,hr4,f1,f2,f3,R2U,R2D,R3U,R3D,Technology,
GConv50,FAST,D-142,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2287,8.5381,9.9776,,447.4286,402.6919,89.495,72.5,0,123.8,0,GT,24
GConv51,FAST,D-142,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2287,8.5381,9.9776,,447.4286,402.6919,89.495,72.5,0,123.8,0,GT,24
GConv52,FAST,D-142,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2286,8.5382,9.9778,,447.4286,402.6919,89.495,72.5,0,0,0,GT,24
GConv53,FAST,D-20,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,9.0137,,,,0,,,53,0,18.3418,0,GT,24
GConv54,FAST,D-81,50.9,212,10.6,10.6,2,2,212,6.9228,NAT_GAS,FH_NCG,3685.22797,9.0135,,,,0,,,53,0,97.5,0,GT,24
GConv55,SLOW,D-125,5.9,74,2.22,2.22,12,8,5.9,6.9228,NAT_GAS,FH_NCG,2026.353159,6.7925,,,,0,,,11.1,0,21.09,0,GST,24
GConv56,SLOW,D-66,243.2,608,6.08,6.08,24,12,243.2,2.0205,COAL,FH_ARA,34672.84352,8.5714,,,,0,,,0,0,0,0,CST,24
GConv57,SLOW,D-12,5.6,14,0.28,0.28,24,12,5.6,2.0205,COAL,FH_ARA,698.0121318,9,,,,0,,,0,0,0,0,CST,24
GConv58,CHP,D-126,72.48,151,0.1,0.1,24,12,149.5,1.0815,LIGNITE,FH_GERMANY,4870.570255,10.152,10.896,11.64,,194.79,138.618,54.36,0,0,0,1.5,CHP,24
GConv59,NUCLEAR,D-161,637.5,1275,42.5,42.5,168,168,637.5,0.6948,NUCLEAR,FH_GERMANY,27630.11624,8.7273,9.0545,10.5818,,2086.3636,1877.7563,417.2901,0,95.3,0,110.4,NUCLEAR,24
GConv60,NUCLEAR,D-54,340,680,22.66667,22.66667,168,168,340,0.6948,NUCLEAR,FH_GERMANY,14736.06199,9.2291,9.9055,10.5818,,797.4545,567.4755,222.5547,0,95.3,0,110.4,NUCLEAR,24
GConv61,NUCLEAR,D-54,340,680,22.66667,22.66667,168,168,340,0.6948,NUCLEAR,FH_GERMANY,14736.06199,8.7273,9.7091,9.9273,,1112.7273,778.906,667.6225,0,95.3,0,110.4,NUCLEAR,24
GConv62,NUCLEAR,D-170,642,1284,42.8,42.8,168,168,642,0.6948,NUCLEAR,FH_GERMANY,27825.15235,9.2291,9.9055,10.5818,,1505.7818,1071.5272,420.2357,0,0,0,110.4,NUCLEAR,24
GConv63,NUCLEAR,D-170,643.5,1287,42.9,42.9,168,168,643.5,0.6948,NUCLEAR,FH_GERMANY,27890.16439,9.2291,9.9055,10.5818,,1509.3,1074.0308,421.2175,0,0,0,110.4,NUCLEAR,24
GConv64,SLOW,D-154,109.4,273.4,5.468,5.468,24,12,109.4,2.0205,COAL,FH_ARA,14202.16046,8.0147,8.6021,9.1895,,278.4363,198.1438,77.6978,0,0,0,0,CST,24
GConv65,SLOW,D-154,51,127.6,2.552,2.552,24,12,51,2.0205,COAL,FH_ARA,6628.367502,10.5021,11.2717,12.0414,,170.28,121.1775,47.518,12.76,0,24.244,0,CST,24
GConv66,SLOW,D-126,30.6,102,2.04,2.04,6,8,30.6,2.4372,OTHER_GAS,FH_GERMANY,2848.071238,8.5714,,,,0,,,10.2,0,19.38,0,GST,24
GConv67,FAST,D-21,28.6,119,5.95,5.95,2,2,119,6.9228,NAT_GAS,FH_NCG,2068.594945,6.9916,,,,0,,,29.75,0,54.7,0,GT,24
GConv68,SLOW,D-36,13,162,3.24,3.24,12,8,13,6.9228,NAT_GAS,FH_NCG,9024.902615,6.345,6.81,7.275,,130.6125,92.9475,36.45,16.2,0,30.78,0,GST,24
GConv69,SLOW,D-176,44,110,2.2,2.2,24,12,44,2.0205,COAL,FH_ARA,5484.381036,7.7838,8.6595,8.8541,,160.5405,112.3761,96.3205,0,0,0,0,CST,24
GConv70,SLOW,D-176,44,110,2.2,2.2,24,12,44,2.0205,COAL,FH_ARA,5484.381036,8.2286,8.5371,9.9771,,169.7143,152.7452,33.9464,11,0,0,0,CST,24
GConv71,SLOW,D-104,53.2,133,1.33,1.33,24,12,53.2,2.0205,COAL,FH_ARA,6429.324492,8.7017,9.3394,9.9771,,147.06,104.6539,41.0443,6.65,0,0,0,CST,24
GConv72,SLOW,D-104,100,250,2.5,2.5,24,12,100,2.0205,COAL,FH_ARA,12085.19641,8.2286,8.5371,9.9771,,385.7143,347.1482,77.1509,12.5,0,0,0,CST,24
GConv73,CHP,D-104,180.5,475,9.5,9.5,24,12,180.5,2.0205,COAL,FH_ARA,14826.54313,8.0147,8.6021,9.1895,,483.7566,344.2513,134.9906,0,0,0,0,CHP,24
GConv74,SLOW,D-65,346,865,17.3,17.3,24,12,346,2.0205,COAL,FH_ARA,49328.96323,9.2308,,,,0,,,0,0,0,0,CST,24
GConv75,FAST,D-148,24,100,5,5,2,2,100,6.9228,NAT_GAS,FH_NCG,1738.31508,9.2291,9.9055,10.5818,,117.2727,83.4523,32.7286,25,0,46,0,GT,24
GConv76,FAST,D-18,69.6,290,14.5,14.5,2,2,290,6.9228,NAT_GAS,FH_NCG,5041.113732,8.2286,8.5371,9.9771,,447.4286,402.6919,89.495,72.5,0,123.8,0,GT,24
GConv77,SLOW,D-191,33.4,417,8.34,8.34,12,8,33.4,6.9228,NAT_GAS,FH_NCG,28382.39869,10.2857,,,,0,,,41.7,0,0,0,GST,24
GConv78,NUCLEAR,D-190,700,1400,46.66667,46.66667,168,168,700,0.6948,NUCLEAR,FH_GERMANY,30338.95117,9.2291,9.9055,10.5818,,1641.8182,1168.3318,458.2009,0,95.3,0,110.4,NUCLEAR,24
GConv79,SLOW,D-62,182.4,456,9.12,9.12,24,12,182.4,1.0815,LIGNITE,FH_GERMANY,20096.29346,8.2286,8.5371,9.9771,,703.5429,633.1983,140.7232,0,45.6,0,0,CST,24
