Generators,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,MaxTransitionLevel,FuelCost,FuelGenerator,FHGenerator,StartupCost,hr1,hr2,hr3,hr4,f1,f2,f3,R2U,R2D,R3U,R3D,Technology,
GConv111,SLOW,D-136,240,600,6,6,24,12,240,1.0815,LIGNITE,FH_GERMANY,28074.37593,8.46,9.08,9.7,,645,459,180,0,0,0,0,CST,24
GConv112,SLOW,D-136,240,600,6,6,24,12,240,1.0815,LIGNITE,FH_GERMANY,28074.37593,8.46,9.08,9.7,,645,459,180,0,0,0,0,CST,24
GConv113,SLOW,D-136,777.2,1943,38.86,38.86,24,12,777.2,1.0815,LIGNITE,FH_GERMANY,90914.1874,6.8134,7.3128,7.8121,,1682.1946,1197.0497,469.4213,0,0,0,110.4,CST,24
GConv114,SLOW,D_Rommer,386,965,19.3,19.3,24,12,386,1.0815,LIGNITE,FH_GERMANY,45152.95463,8.3721,,,,0,,,0,0,0,110.4,CST,24
GConv115,SLOW,D_Rommer,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,8.9576,9.6141,10.2706,,341.4706,243.0026,95.2915,0,0,0,0,CST,24
GConv116,SLOW,D_Rommer,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,8.9576,9.6141,10.2706,,341.4706,243.0026,95.2915,0,0,0,0,CST,24
GConv117,SLOW,D_Rommer,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,8.2286,9.1543,9.36,,462.8571,323.9979,277.7143,0,0,0,0,CST,24
GConv118,SLOW,D_Rommer,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,8.7017,9.3394,9.9771,,331.7143,236.0614,92.5811,0,0,0,45,CST,24
GConv119,SLOW,D_Rommer,223.4,558.6,5.586,5.586,24,12,223.4,1.0815,LIGNITE,FH_GERMANY,26137.244,10,,,,0,,,0,0,0,0,CST,24
GConv120,SLOW,D_Rommer,223.4,558.6,5.586,5.586,24,12,223.4,1.0815,LIGNITE,FH_GERMANY,26137.244,10,,,,0,,,0,0,0,0,CST,24
GConv121,SLOW,D-137,128,320,6.4,6.4,24,12,128,2.0205,COAL,FH_ARA,16622.86521,9.7297,,,,0,,,0,0,0,0,CST,24
GConv122,SLOW,D-58,112,280,5.6,5.6,24,12,112,1.0815,LIGNITE,FH_GERMANY,11799.43416,9.5175,10.215,10.9125,,338.625,240.975,94.5,0,28,0,0,CST,24
GConv123,NUCLEAR,D-177,696,1392,46.4,46.4,168,168,696,0.6948,NUCLEAR,FH_GERMANY,30165.58573,8.7273,9.0545,10.5818,,2277.8182,2050.068,455.5826,0,95.3,0,110.4,NUCLEAR,24
GConv124,SLOW,D-192,184,460,9.2,9.2,24,12,184,2.0205,COAL,FH_ARA,23895.36874,7.614,8.172,8.73,,445.05,316.71,124.2,0,0,0,0,CST,24
GConv125,FAST,D-162,7.9,33,1.65,1.65,2,2,33,6.9228,NAT_GAS,FH_NCG,573.6439764,9.7297,,,,0,,,8.25,0,15.2,0,GT,24
GConv126,SLOW,D-5,102,255,5.1,5.1,24,12,102,2.0205,COAL,FH_ARA,13246.34571,7.0828,7.6019,8.1209,,229.5,163.3136,64.0523,0,22.9522,0,0,CST,24
