Loads,BusLoad,DynamicProfile,ParticipationFactor
Load_D-69,D-69,DE_LOAD,0.005314304
Load_D-7,D-7,DE_LOAD,0.00338681
Load_D-70,D-70,DE_LOAD,0.007753668
Load_D-71,D-71,DE_LOAD,0.009250662
Load_D-72,D-72,DE_LOAD,0.009250662
Load_D-73,D-73,DE_LOAD,0.009250662
Load_D-74,D-74,DE_LOAD,0.00529974
Load_D-76,D-76,DE_LOAD,0.009250662
Load_D-78,D-78,DE_LOAD,0.009670874
Load_D-79,D-79,DE_LOAD,0.007753668
Load_D-8,D-8,DE_LOAD,0.00338681
Load_D-80,D-80,DE_LOAD,0.010822613
Load_D-81,D-81,DE_LOAD,0.009250662
Load_D-82,D-82,DE_LOAD,0.00478119
Load_D-83,D-83,DE_LOAD,0.00478119
Load_D-84,D-84,DE_LOAD,0.009250662
Load_D-86,D-86,DE_LOAD,0.009250662
Load_D-87,D-87,DE_LOAD,0.005077275
Load_D-89,D-89,DE_LOAD,0.00478119
Load_D-9,D-9,DE_LOAD,0.00338681
Load_D-90,D-90,DE_LOAD,0.004844255
Load_D-93,D-93,DE_LOAD,0.009670874
Load_D-96,D-96,DE_LOAD,0.005314304
Load_D-97,D-97,DE_LOAD,0.009250662
Load_D-98,D-98,DE_LOAD,0.00478119
Load_D-99,D-99,DE_LOAD,0.00478119
Load_E_obermo,E_obermo,DE_LOAD,0.005435891
Load_E-204,E-204,DE_LOAD,0.005435891
Load_E-211,E-211,DE_LOAD,0.005435891
Load_E-215,E-215,DE_LOAD,0.005435891
Load_E-217,E-217,DE_LOAD,0.005435891
Load_E-218,E-218,DE_LOAD,0.005435891
Load_E-220,E-220,DE_LOAD,0.002580325
Load_E-223,E-223,DE_LOAD,0.005435891
