Name,SUBZONE,ZONE,X,Y
D_185,RLP_SL,DE,15.54635614,12.86717149
D_233,BY,DE,23.34392413,11.53979657
D_Connef,NI_HB,DE,16.30907091,20.21452239
D_Diele,NI_HB,DE,15.33968469,19.69001615
D_Eichst,BW,DE,16.84950817,10.57410568
D_engstl,BW,DE,17.53278872,9.915326674
D_Gronau,NRW,DE,15.1462422,18.03332781
D_kuhmoo,BW,DE,17.15488054,9.708229218
D_leupol,BY,DE,20.64348692,10.30433947
D_oberbr,BY,DE,21.22997582,10.30118992
D_Rommer,NRW,DE,14.84823845,15.78720561
D_Siersd,NRW,DE,14.30164231,15.59128819
D_Tienge,BW,DE,17.66135391,9.797341993
D-1,SH_HH,DE,17.35362208,22.87616601
D-10,SH_HH,DE,17.820574,21.60896505
D-100,NRW,DE,14.7495572,16.96268948
D-101,NRW,DE,16.29038466,16.94897555
D-102,NRW,DE,15.1767563,16.91937955
D-103,SN,DE,22.72216166,16.90489606
D-104,NRW,DE,15.49561527,16.86501359
D-105,NRW,DE,15.44466474,16.74032968
D-106,HE,DE,18.55683376,16.73256326
D-107,HE,DE,17.69431772,16.71703043
D-108,NRW,DE,15.76100515,16.67232033
D-109,NRW,DE,15.01578689,16.66854217
D-11,SH_HH,DE,19.11364836,21.52438708
D-110,NRW,DE,15.4284282,16.60599047
D-111,NRW,DE,16.16776782,16.55960062
D-112,HE,DE,18.56243303,16.51300061
D-113,SN,DE,22.95969611,16.44121268
D-114,TH,DE,21.65108662,16.39314429
D-115,TH,DE,22.01221697,16.36123789
D-116,NRW,DE,17.11174848,16.29910463
D-117,SN,DE,22.5947862,16.28923956
D-118,TH,DE,19.73960901,16.21493241
D-119,HE,DE,18.27772676,16.17399993
D-12,SH_HH,DE,17.47903855,21.49633272
D-120,NRW,DE,16.59916595,16.06589616
D-121,SN,DE,23.06481798,16.0413371
D-122,SN,DE,23.21710741,15.98550166
D-123,NRW,DE,15.37215862,15.9302952
D-124,HE,DE,18.79758732,15.91812004
D-125,SN,DE,22.39210499,15.906155
D-126,NRW,DE,14.83354124,15.89915799
D-127,NRW,DE,15.98076356,15.86165408
D-129,TH,DE,21.65780507,15.75354945
D-13,BB_B,DE,23.45310407,21.44987998
D-130,HE,DE,17.25872056,15.62487359
